City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kadhan,PK,78.82,clear sky,24.480999999999998,68.9859,ڳوٺ چوڌري جلال الدين جٽ
1,Cape Town,ZA,70.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2,Castro,BR,71.64,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Copiapo,CL,68.0,clear sky,-27.3667,-70.3333,San Francisco de La Selva
6,Tahta,EG,66.2,clear sky,26.7693,31.5021,El Salam Hotel
7,Meulaboh,ID,77.27,overcast clouds,4.1363,96.1285,Kost Pria
10,Bredasdorp,ZA,62.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Coquimbo,CL,64.4,scattered clouds,-29.9533,-71.3436,Punto de encuentro
15,Souillac,MU,77.0,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
16,Saldanha,ZA,68.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
17,Necochea,AR,69.01,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
24,Asfi,MA,62.58,scattered clouds,32.2994,-9.2372,Hôtel Abda
25,Dingle,PH,76.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
26,Kalabo,ZM,70.95,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
31,Chuy,UY,69.37,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
35,Riyadh,SA,66.2,clear sky,24.6877,46.7219,InterContinental Riyadh
37,Ribeira Grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
38,Mahebourg,MU,77.0,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Clayton,US,68.0,overcast clouds,33.5335,-84.3666,Royal Inn
41,Veraval,IN,77.88,clear sky,20.9,70.3667,Lords Inn Somnath
42,East London,ZA,66.16,overcast clouds,-33.0153,27.9116,Tu Casa
43,Ponta Do Sol,PT,62.01,broken clouds,32.6667,-17.1,Hotel do Campo
46,Bengkulu,ID,77.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Mangla,PK,75.15,clear sky,31.8931,72.3817,Rana Tariq Aziz House
51,Sitapur,IN,77.32,clear sky,27.5667,80.6833,ANNPURNA AWADHESH NANDAN SADAN (अन्नपूर्णा अवधेश नंदन सदन)
54,Tshikapa,CD,73.83,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
58,Port Alfred,ZA,65.84,overcast clouds,-33.5906,26.891,The Halyards Hotel
60,Nosy Varika,MG,77.05,scattered clouds,-20.5833,48.5333,Hotel Volazara
61,Grand Gaube,MU,78.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
62,Lilongwe,MW,64.2,overcast clouds,-13.9669,33.7873,Spendwise furnished apartments.
63,Djambala,CG,72.21,moderate rain,-2.5447,14.7533,Hotel Ravin D'or
67,Lebu,CL,61.97,clear sky,-37.6167,-73.65,Hostal Las Lilas
69,Port Elizabeth,ZA,64.4,clear sky,-33.918,25.5701,39 On Nile Guest House
70,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
71,Rawson,AR,66.78,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
75,Palmeira,BR,70.77,overcast clouds,-25.4294,-50.0064,Hotel Vereda
76,Puerto Del Rosario,ES,71.6,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
77,Uige,AO,68.4,overcast clouds,-7.6087,15.0613,Juliao Pereira
78,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
81,Bambous Virieux,MU,78.01,few clouds,-20.3428,57.7575,Casa Tia Villa
84,Mar Del Plata,AR,68.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
86,Cidreira,BR,78.3,scattered clouds,-30.1811,-50.2056,Hotel Castelo
89,Jijiga,ET,65.35,broken clouds,9.35,42.8,RAMAAS HOTEL
90,Chokwe,MZ,68.23,clear sky,-24.5333,32.9833,Complexo Sonho Real
94,Booue,GA,74.59,moderate rain,-0.0921,11.9385,Splendeur de l'équateur
95,Kutum,SD,67.12,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
96,Coihaique,CL,66.2,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
103,Praia Da Vitoria,PT,62.6,scattered clouds,38.7333,-27.0667,Hotel Branco I
104,Faya,SA,64.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
106,Mpika,ZM,61.54,overcast clouds,-11.8343,31.4529,Melodies Lodge
107,Dalbandin,PK,78.85,broken clouds,28.8947,64.4101,Sanjrani House
109,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
112,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
118,Yenagoa,NG,79.75,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
120,Dwarka,IN,78.58,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
122,Santa Maria,BR,72.45,broken clouds,-29.6842,-53.8069,Hotel Morotin
124,Omboue,GA,77.72,moderate rain,-1.5746,9.2618,Hotel Olako
126,Pasni,PK,78.3,overcast clouds,25.2631,63.471000000000004,Kashmiri Hotal
128,Kruisfontein,ZA,64.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
129,Nouadhibou,MR,68.0,clear sky,20.930999999999997,-17.0347,El Medina
130,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
131,Umm Lajj,SA,72.64,few clouds,25.0213,37.2685,Moon light Furnished Units
132,Victoria,HK,75.99,clear sky,22.2855,114.1577,Mini Hotel Central
133,Saint George,US,71.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
134,Samfya,ZM,66.16,moderate rain,-11.3649,29.5565,Chita Lodge Samfya
144,Garowe,SO,76.28,scattered clouds,8.4054,48.4845,Curubo Hotel
145,Bubaque,GW,75.83,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
146,Sinnamary,GF,79.93,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
152,Candelaria,PH,75.99,overcast clouds,13.9311,121.4233,Casa de Provincia
155,Hermanus,ZA,68.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
157,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
159,Tabou,CI,79.39,scattered clouds,4.423,-7.3528,hotêl doufoulougou
165,Damaturu,NG,76.26,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
169,Antofagasta,CL,68.0,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
171,Hambantota,LK,73.4,light rain,6.1241,81.1185,Bungalow 63
172,Sao Filipe,CV,69.66,scattered clouds,14.8961,-24.4956,Tortuga B&B
175,Capitao Poco,BR,76.44,light rain,-1.7464,-47.0594,Hotel New Tokyo
178,San-Pedro,CI,78.13,light rain,4.7485,-6.6363,Hotel Maria
182,Valdivia,CL,73.4,clear sky,-39.8142,-73.2459,Hostal Entre Rios
184,Lejanias,CO,79.11,overcast clouds,3.5251,-74.0216,Hotel Campestre La Contea
185,Siavonga,ZM,74.05,light rain,-16.5382,28.7088,Lavongora Waterfront Lodge
187,Gwadar,PK,78.6,scattered clouds,25.1216,62.3254,Sadaf Resort
192,Mwinilunga,ZM,61.23,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
195,Kalangala,UG,75.2,few clouds,-0.3089,32.225,Ssese Habitat Resort
200,Livingstonia,MW,63.99,light rain,-10.606,34.1063,Stone House Guest House
204,Harper,LR,79.27,scattered clouds,4.375,-7.7169,Screensaver
206,Soanierana Ivongo,MG,77.68,light rain,-16.9167,49.5833,La Concorde
207,Santa Vitoria Do Palmar,BR,69.19,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
209,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
210,Bartica,GY,78.8,broken clouds,6.4,-58.6167,Relax Inn Hotel
212,Carnarvon,AU,73.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
213,Alice Town,BS,78.26,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
216,Walvis Bay,,61.0,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
220,Yining,CN,62.02,few clouds,29.0361,114.5636,Xiushui Hotel
225,Bonito,BR,76.55,overcast clouds,-21.1211,-56.4819,Marruá Hotel
229,Sainte-Marie,RE,77.0,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
232,Comodoro Rivadavia,AR,62.6,broken clouds,-45.8667,-67.5,Austral Hotel
233,Salinas,US,75.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
235,Esna,EG,69.8,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
237,Quatre Cocos,MU,78.01,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
238,Bilaspur,IN,76.41,clear sky,22.0833,82.15,Hotel East Park
239,Bilma,NE,73.94,clear sky,18.6853,12.9164,Expeditions Ténére voyages
240,Pampierstad,ZA,68.61,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
243,Pokhara,NP,65.98,clear sky,28.2333,83.9833,Butterfly Lodge
246,Abha,SA,64.4,clear sky,18.2164,42.5053,Abha Hotel
249,Los Llanos De Aridane,ES,66.2,few clouds,28.6585,-17.9182,Valle Aridane
250,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
255,Namibe,AO,73.92,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
258,Coruripe,BR,79.99,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
261,Sambava,MG,76.86,moderate rain,-14.2667,50.1667,Melrose
262,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
271,Iquitos,PE,77.0,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
276,Tres Arroyos,AR,69.33,scattered clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
277,North Myrtle Beach,US,77.0,clear sky,33.816,-78.68,Avista Resort
278,Cap Malheureux,MU,78.01,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
281,Dimbokro,CI,78.13,light rain,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
284,Tank,PK,78.1,clear sky,32.2217,70.3793,Saraikistan house
287,Rocha,UY,67.23,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
290,Koulamoutou,GA,73.17,light rain,-1.1303,12.4736,Motel Bouenguidi
293,Geraldton,AU,66.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
297,Phalaborwa,ZA,69.8,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
302,Ilo,PE,71.37,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
308,Ascension,US,69.8,overcast clouds,30.2169,-90.9001,Highland Inn
312,Muros,ES,60.8,clear sky,42.7762,-9.0603,Apartment Av. Castelao
323,Nyimba,ZM,67.8,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
327,Chicama,PE,73.4,clear sky,-7.8447,-79.1469,Chicama Me Gusta
328,Sassandra,CI,77.05,light rain,4.95,-6.0833,la terrasse
329,Sesheke,ZM,68.58,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
330,Impfondo,CG,77.65,few clouds,1.6381,18.0667,Préfecture de la Likouala
331,Pascagoula,US,75.2,broken clouds,30.3658,-88.5561,Regency Inn
332,Santa Fe,AR,70.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
335,Henties Bay,,61.0,clear sky,-22.116,14.2845,Fishermans Guest House
337,Trelew,AR,71.1,overcast clouds,-43.248999999999995,-65.3051,Hotel Touring Club
342,Paoua,CF,79.02,light rain,7.2427,16.4406,Quartier Paoua Elien
346,Richards Bay,ZA,69.4,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
355,Cascais,PT,66.2,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
356,Colares,PT,66.2,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
358,Marsh Harbour,BS,77.81,few clouds,26.5412,-77.0636,Abaco Beach Resort
365,Wundanyi,KE,60.66,heavy intensity rain,-3.4019,38.364000000000004,Taita Rocks Hotel
369,Mwembe,TZ,67.37,light rain,-4.15,37.85,African Wildlife Borders
374,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
375,Arlit,NE,73.96,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
376,Springbok,ZA,65.34,clear sky,-29.6643,17.8865,Undulata Country Lodge
377,Saurimo,AO,66.47,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
379,Luderitz,,62.83,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
380,Camacha,PT,62.6,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
392,Aswan,EG,68.16,clear sky,24.0934,32.907,Nuba Nile
393,Antalaha,MG,77.32,moderate rain,-14.9003,50.2788,Hotel Vitasoa
395,San Antonio,US,73.99,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
398,Kikwit,CD,76.03,broken clouds,-5.041,18.8162,Guest L'Amour
402,Hukuntsi,BW,73.72,clear sky,-24.0,21.75,Entabeni Hotel
404,Grand-Lahou,CI,79.68,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
405,Catalina,US,78.01,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
409,Waddan,LY,61.95,clear sky,29.1614,16.139,محل الشريف محمد العايب
410,Menongue,AO,64.56,broken clouds,-14.6585,17.691,Ritz Lauca
415,Axim,GH,79.7,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
416,Montilla,ES,62.6,clear sky,37.5863,-4.6381,Hotel Don Gonzalo
427,Kalmunai,LK,77.68,overcast clouds,7.4167,81.8167,VS Villa
431,Xai-Xai,MZ,72.72,light rain,-25.0519,33.6442,Complexo da Familia
432,Ambilobe,MG,75.85,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
435,San Luis,AR,73.0,clear sky,-33.295,-66.3356,Huarpes Hotel
439,Damietta,EG,60.8,scattered clouds,31.4165,31.8133,SULIMAN INN
443,Sharjah,AE,77.0,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
446,Ballina,AU,64.4,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
454,Hwange,ZW,71.4,few clouds,-18.3693,26.5019,Hwange Colliery Guest House
461,Kuruman,ZA,66.79,clear sky,-27.4524,23.4325,Cornerstone Guest House
463,Ancud,CL,68.0,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
464,Rio Branco,BR,75.2,scattered clouds,-9.9747,-67.81,João Paulo Hotel
466,Ratnagiri,IN,79.05,broken clouds,16.9833,73.3,Hotel Landmark
471,Kindu,CD,76.35,broken clouds,-2.95,25.95,Résidence Okanda
472,Hirna,ET,62.6,scattered clouds,9.2167,41.1,Seid Ali
473,Bandarbeyla,SO,78.62,clear sky,9.4942,50.8122,JABIR HOTEL
475,Tacna,PE,75.2,clear sky,-18.0056,-70.2483,Hotel Colón Inn
477,Danville,US,73.4,clear sky,36.586,-79.395,Holiday Inn Express Danville
478,Doha,QA,69.8,clear sky,25.2867,51.5333,Doha Marriott Hotel
481,Mananara,MG,76.59,light rain,-16.1667,49.7667,Chez Roger
482,Hualmay,PE,74.35,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
484,Ajdabiya,LY,61.07,broken clouds,30.7554,20.2263,Almadina Hotel
485,Misratah,LY,62.78,overcast clouds,32.3754,15.0925,فندق الماسة
488,Tarata,BO,75.2,scattered clouds,-17.6167,-66.0167,Alojamiento IV Centenario
491,Weligama,LK,75.7,overcast clouds,5.9667,80.4167,Weligama Bay Resort
492,Carauari,BR,77.9,broken clouds,-4.8828,-66.8958,Hotel Fellip
498,Bam,IR,65.14,few clouds,29.105999999999998,58.357,Bam Tourist Hotel
500,Mombaca,BR,77.9,scattered clouds,-5.7431,-39.6275,Mombaça Premium Hotel
505,Concordia,AR,68.0,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
506,Dakar,SN,68.0,clear sky,14.6937,-17.4441,Redface Studios Meublés
513,Gemena,CD,78.6,clear sky,3.25,19.7667,Hôtel Goshen
518,Vila Franca Do Campo,PT,60.8,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
519,Monrovia,LR,78.8,light rain,6.3005,-10.7969,Sunset Inn
523,Mizdah,LY,62.64,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
526,Surt,LY,61.05,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
529,Mizan Teferi,ET,66.51,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
531,Peniche,PT,62.01,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
541,Oranjemund,,61.43,clear sky,-28.55,16.4333,The Fisherman's Cove
542,Ibra,OM,78.55,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
550,Botucatu,BR,74.41,broken clouds,-22.8858,-48.445,Primar Plaza Hotel
551,San Francisco,US,70.0,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
552,Constitucion,CL,67.5,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
556,Liwale,TZ,69.33,broken clouds,-9.7667,37.9333,Samoma Lodge
557,Badulla,LK,69.58,overcast clouds,6.9895,81.0557,Budget comfort holiday
559,Angoche,MZ,78.46,light rain,-16.2325,39.9086,Guest House HESADA
560,Odlabari,IN,71.46,clear sky,26.8333,88.6167,west damdim resort
562,Mutoko,ZW,63.9,broken clouds,-17.397000000000002,32.2268,Mutoko Hotel
563,Kodar,IN,77.81,clear sky,16.9833,79.9667,Hotel Athidhi Grand
568,Rio Cuarto,AR,71.01,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
569,Mbinga,TZ,71.6,light rain,-10.9333,35.0167,Riverside Lodge
571,Carballo,ES,60.8,clear sky,43.213,-8.691,Pazo do Souto
572,Gonzalez,US,75.2,broken clouds,30.5816,-87.2914,Motel Air Inc
581,Kilinochchi,LK,75.25,broken clouds,9.3961,80.3982,Solaivanam Guest House
582,Kumbo,CM,68.95,overcast clouds,6.2,10.6667,Western Inn Resort
584,Kinshasa,CD,77.0,light rain,-4.3246,15.3215,Star Hotel II
586,Jalu,LY,62.04,broken clouds,29.0331,21.5482,صاحبة الفخامة
588,Tuscaloosa,US,66.2,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
589,Havelock,US,75.0,overcast clouds,34.8791,-76.9013,Sherwood Motel
593,Santander,ES,60.8,clear sky,43.4647,-3.8044,Abba Santander Hotel
594,Plettenberg Bay,ZA,62.71,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
595,Isiro,CD,75.74,broken clouds,2.7739,27.616,Guest House Hewa Bora
598,Itabira,BR,74.89,overcast clouds,-19.6192,-43.2269,Premium Executive Hotel
602,Lukulu,ZM,68.79,broken clouds,-14.3707,23.241999999999997,Ruth Guest House
605,Chengannur,IN,75.76,overcast clouds,9.3333,76.6333,Hotel Santhi Palace
607,Morondava,MG,78.31,clear sky,-20.2833,44.2833,La Case Bambou
608,Meiganga,CM,74.43,broken clouds,6.5167,14.3,DFR HOUSE
610,Abeche,TD,78.82,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
611,Treinta Y Tres,UY,73.11,few clouds,-33.2333,-54.3833,Jardines Apart-Hotel
614,General Pico,AR,71.33,clear sky,-35.6566,-63.7568,Hotel Malargue
615,Monaragala,LK,73.4,overcast clouds,6.8714,81.3487,Silanrich Hotel
616,Icod De Los Vinos,ES,62.01,scattered clouds,28.3724,-16.7119,Hotel Rural El Patio
624,Eyl,SO,77.94,few clouds,7.9803,49.8164,Amiin Hotel
627,Buchanan,LR,78.8,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
629,Bosaso,SO,78.69,clear sky,11.2842,49.1816,Red Sea Hotel
633,Taltal,CL,67.37,few clouds,-25.4,-70.4833,Residencial Karime
634,Viedma,AR,79.21,overcast clouds,-40.8135,-62.9967,Hotel Cristal
635,Potchefstroom,ZA,68.04,overcast clouds,-26.7167,27.1,Melrose Place Guestrooms
637,Hershey,US,63.0,overcast clouds,40.2859,-76.6503,Days Inn by Wyndham Hershey
639,Sendafa,ET,64.4,broken clouds,9.15,39.0333,german hotel
643,Tocopilla,CL,70.75,few clouds,-22.092,-70.1979,Hotel Galvarino
644,Berbera,SO,78.58,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
650,Tarancon,ES,62.01,clear sky,40.0085,-3.0073,hotel castilla
652,Guanay,BO,71.94,overcast clouds,-15.4975,-67.8797,Hotel Ritzy
653,Beni Mazar,EG,60.64,clear sky,28.4962,30.8029,Link Co-Working space & Development center
654,Ongandjera,,77.22,few clouds,-17.8833,15.0667,Onesto Guesthouse
656,Lekoni,GA,77.22,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
662,Culpeper,US,70.0,broken clouds,38.5004,-77.9664,Loose Lodge
663,Nahan,IN,74.5,overcast clouds,30.55,77.3,Hotel Heritage Sanyam
665,Wum,CM,75.6,broken clouds,6.3833,10.0667,Wum Council Hall
668,Bikapur,IN,77.14,clear sky,26.6,82.1333,Hotel Tirupati
671,Buraydah,SA,62.6,clear sky,26.326,43.975,فندق راحة السلام
678,Tabuk,PH,72.16,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
684,Bertoua,CM,75.16,scattered clouds,4.5833,13.6833,Hotel De Paris
685,Stephenville,US,71.6,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
686,Boca Do Acre,BR,74.46,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
687,Aksum,ET,62.62,broken clouds,14.1245,38.7244,Remhai Hotel
689,Dabhol,IN,76.19,few clouds,17.6,73.1667,Ashwamedh Resort
690,Matay,EG,60.89,clear sky,28.419,30.7792,Nag Aespen
693,Montevideo,UY,73.4,few clouds,-34.8335,-56.1674,KOLPING Hotel
