City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kadhan,PK,24.481,68.9859,78.82,63,5,14.0,clear sky
1,Cape Town,ZA,-33.9258,18.4232,70.0,72,0,6.91,clear sky
2,Castro,BR,-24.7911,-50.0119,71.64,84,100,6.31,overcast clouds
3,Vallenar,CL,-28.5708,-70.7581,80.51,30,0,8.7,clear sky
4,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,66,20,6.91,few clouds
5,Copiapo,CL,-27.3667,-70.3333,68.0,52,0,10.36,clear sky
6,Tahta,EG,26.7693,31.5021,66.2,27,0,17.27,clear sky
7,Meulaboh,ID,4.1363,96.1285,77.27,86,96,2.37,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,-17.7,80,24,2.44,few clouds
9,Vila Velha,BR,-20.3297,-40.2925,82.4,65,40,6.91,scattered clouds
10,Bredasdorp,ZA,-34.5322,20.0403,62.6,82,100,13.8,overcast clouds
11,Busselton,AU,-33.65,115.3333,54.0,94,0,6.6,clear sky
12,Coquimbo,CL,-29.9533,-71.3436,64.4,63,40,9.22,scattered clouds
13,Cravo Norte,CO,6.3017,-70.2041,91.49,40,89,11.32,overcast clouds
14,Matane,CA,48.8286,-67.522,30.99,35,100,18.57,light snow
15,Souillac,MU,-20.5167,57.5167,77.0,88,20,4.61,few clouds
16,Saldanha,ZA,-33.0117,17.9442,68.0,49,100,5.75,overcast clouds
17,Necochea,AR,-38.5473,-58.7368,69.01,76,26,4.0,scattered clouds
18,Ushuaia,AR,-54.8,-68.3,46.4,61,40,25.32,scattered clouds
19,Kabo,CF,7.6994,18.629,85.1,23,8,4.92,clear sky
20,Ati,TD,13.2154,18.3353,81.5,14,36,13.42,scattered clouds
21,Floridia,IT,37.0869,15.1519,59.0,82,0,9.22,clear sky
22,Pontes E Lacerda,BR,-15.2261,-59.3353,82.94,66,70,3.53,broken clouds
23,Punta Arenas,CL,-53.15,-70.9167,55.4,41,0,16.11,clear sky
24,Asfi,MA,32.2994,-9.2372,62.58,73,45,25.97,scattered clouds
25,Dingle,PH,10.9995,122.6711,76.23,89,100,6.17,overcast clouds
26,Kalabo,ZM,-14.97,22.6814,70.95,69,97,4.79,overcast clouds
27,Kudahuvadhoo,MV,2.6708,72.8944,80.26,82,100,11.45,overcast clouds
28,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.57,84,80,1.99,broken clouds
29,Boden,SE,65.8252,21.6886,35.6,93,90,10.36,overcast clouds
30,Bathsheba,BB,13.2167,-59.5167,82.4,61,40,20.71,scattered clouds
31,Chuy,UY,-33.6971,-53.4616,69.37,84,93,4.61,light rain
32,Georgetown,MY,5.4112,100.3354,78.8,94,20,1.14,few clouds
33,Longyearbyen,SJ,78.2186,15.6401,32.0,74,20,2.3,few clouds
34,Natal,BR,-5.795,-35.2094,86.0,66,40,10.36,scattered clouds
35,Riyadh,SA,24.6877,46.7219,66.2,19,0,8.05,clear sky
36,Tasiilaq,GL,65.6145,-37.6368,19.4,53,20,9.22,few clouds
37,Ribeira Grande,PT,38.5167,-28.7,60.8,77,40,11.5,scattered clouds
38,Mahebourg,MU,-20.4081,57.7,77.0,88,20,4.61,few clouds
39,Clayton,US,33.5335,-84.3666,68.0,83,90,12.66,overcast clouds
40,Klaksvik,FO,62.2266,-6.589,41.0,87,75,16.11,broken clouds
41,Veraval,IN,20.9,70.3667,77.88,76,4,12.01,clear sky
42,East London,ZA,-33.0153,27.9116,66.16,73,100,11.95,overcast clouds
43,Ponta Do Sol,PT,32.6667,-17.1,62.01,66,74,3.0,broken clouds
44,Vestmannaeyjar,IS,63.4427,-20.2734,34.77,52,52,8.57,broken clouds
45,Zheshart,RU,62.0731,49.5733,27.3,94,100,6.35,overcast clouds
46,Bengkulu,ID,-3.8004,102.2655,77.27,90,100,4.12,overcast clouds
47,Joshimath,IN,30.5667,79.5667,52.88,57,15,5.61,few clouds
48,Uaua,BR,-9.8414,-39.4817,92.34,25,83,7.07,broken clouds
49,Aviemore,GB,57.1955,-3.8259,48.2,93,100,16.11,overcast clouds
50,Mangla,PK,31.8931,72.3817,75.15,32,0,2.86,clear sky
51,Sitapur,IN,27.5667,80.6833,77.32,18,0,4.32,clear sky
52,Cabo Rojo,PR,18.0866,-67.1457,84.0,86,73,3.0,broken clouds
53,Marica,BR,-22.9194,-42.8186,86.0,74,20,14.97,few clouds
54,Tshikapa,CD,-6.4167,20.8,73.83,78,54,1.41,broken clouds
55,Caravelas,BR,-17.7125,-39.2481,81.16,69,0,8.1,clear sky
