City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-03-25 01:08:52,-34.5322,20.0403,64.4,88,99,9.22
1,Saldanha,ZA,2021-03-25 01:07:55,-33.0117,17.9442,69.8,68,0,2.3
2,Ushuaia,AR,2021-03-25 01:05:11,-54.8,-68.3,42.8,75,20,28.77
3,Tahoua,NE,2021-03-25 01:08:52,14.8888,5.2692,81.18,9,100,11.21
4,Nouadhibou,MR,2021-03-25 01:08:52,20.931,-17.0347,64.4,94,75,13.8
5,Kruisfontein,ZA,2021-03-25 01:02:42,-34.0033,24.7314,70.0,81,100,5.99
6,Bocas Del Toro,PA,2021-03-25 01:08:53,9.3333,-82.25,64.0,71,6,5.99
7,Varna,BG,2021-03-25 01:04:34,43.2167,27.9167,30.99,86,20,8.05
8,Port Alfred,ZA,2021-03-25 01:06:24,-33.5906,26.891,68.5,85,100,15.48
9,Barcanesti,RO,2021-03-25 01:08:53,44.8833,26.05,32.0,100,90,5.75
10,Margate,GB,2021-03-25 01:06:30,51.3813,1.3862,48.0,77,100,1.01
11,Anupgarh,IN,2021-03-25 01:08:54,29.1911,73.2086,66.42,49,3,5.28
12,Busselton,AU,2021-03-25 01:08:54,-33.65,115.3333,64.0,75,25,1.01
13,Georgetown,MY,2021-03-25 01:08:55,5.4112,100.3354,80.01,94,20,5.75
14,Boa Vista,BR,2021-03-25 01:04:03,2.8197,-60.6733,77.0,88,90,8.05
15,Korla,CN,2021-03-25 01:07:56,41.7597,86.1469,47.64,32,0,7.81
16,Mahon,ES,2021-03-25 01:08:55,39.8885,4.2658,50.0,93,0,6.91
17,Vestmanna,FO,2021-03-25 01:08:55,62.1564,-7.1664,39.2,87,24,2.3
18,Fidenza,IT,2021-03-25 01:08:56,44.864,10.0667,44.01,73,0,2.15
19,Lebedyn,UA,2021-03-25 01:08:56,50.5852,34.4849,28.85,78,98,13.29
20,Kavaratti,IN,2021-03-25 01:08:56,10.5669,72.642,82.56,74,79,5.99
